"abstractId","title","publisher","abstract","pmid","year","month"
"1","Prospective comparison of MR imaging and US for the diagnosis of pediatric appendicitis.","Radiology","PURPOSE: To prospectively compare nonenhanced magnetic resonance (MR) imaging and ultrasonography (US) for the diagnosis of pediatric appendicitis.<br />MATERIALS AND METHODS: This HIPAA-compliant study was approved by the institutional review board, and written informed consent was obtained from the patient's parent or guardian. Eighty-one patients (34 male, 47 female; mean age, 12.3 years Â± 3.5 [standard deviation]; range, 4-17 years) were enrolled in this prospective study. All patients underwent right lower quadrant US and nonenhanced, nonsedated abdominopelvic MR imaging examinations. Two pediatric radiologists blinded to US results independently reviewed the MR images. MR imaging and US findings were designated positive, negative, or equivocal for acute appendicitis. Sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV) were calculated for MR imaging and US and compared by using two-sided McNemar test or the score statistics specified by Leisenring. Kappa statistics were generated to determine intertechnique agreement between MR imaging and US and interobserver agreement between the two primary MR imaging readers.<br />RESULTS: Thirty (37%) patients had pathologically proved acute appendicitis. When equivocal interpretations were designated positive, sensitivity was 93.3% for MR imaging (95% confidence interval [CI]: 77.9%, 99.2%) and 90.0% for US (95% CI: 73.5%, 97.9%), P > .99; specificity was 98% for MR imaging (95% CI: 89.6%, 100%) and 86.3% for US (95% CI:73.7%, 94.3%), P = .03; PPV was 96.5% for MR imaging (95% CI: 82.2%, 99.9%) and 79.4% for US (95% CI: 62.1%, 91.3%), P = .007; and NPV was 96.2% for MR imaging (95% CI: 86.8%, 99.5%) and 93.6% for US (95% CI: 82.4%, 98.7%), P = .45, with substantial intertechnique (Îº = 0.77; 95% CI: 0.63, 0.90) and interobserver (Îº = 0.76; 95% CI: 0.61, 0.91) agreement. When equivocal interpretations were designated negative, MR imaging sensitivity, specificity, PPV, and NPV were unchanged. For US, sensitivity was 86.7% (95% CI: 69.3%, 96.2%), P = .5; specificity was 100% (95% CI: 93.0%, 100%), P > .99; PPV was 100% (95% CI: 86.8%, 100%), P = .31; and NPV was 92.7% (95% CI: 82.4%, 98.0%), P = .16, with almost perfect intertechnique (Îº = 0.92; 95% CI: 0.83, 1.00) and substantial interobserver (Îº = 0.72; 95% CI: 0.58, 0.87) agreement.<br />CONCLUSION: Nonenhanced MR imaging demonstrates high diagnostic performance similar to that of US for suspected pediatric appendicitis.","24646110","2014","7"
"2","Problem with right iliac fossa pain.","ANZ journal of surgery",\N,"23305057","2012","5"
"3","Intraluminal appendiceal fluid is a predictive factor for recurrent appendicitis after initial successful non-operative management of uncomplicated appendicitis in pediatric patients.","Journal of pediatric surgery","BACKGROUND: The risk factors for recurrent appendicitis in pediatric patients are unclear. This study aimed to identify the predictive factors for recurrent appendicitis in pediatric patients who initially underwent successful non-operative management of uncomplicated appendicitis.<br />METHODS: Potential predictive factors for recurrent appendicitis in terms of clinical characteristics, laboratory data, and abdominal ultrasonography and computed tomography findings, were evaluated.<br />RESULTS: This study included 125 patients who underwent initial successful non-operative management of appendicitis. The rate of recurrent appendicitis was 19.2%, and the mean time to recurrence was 12.6 months. Univariate analyses found that rebound tenderness, muscle guarding, appendicoliths, appendiceal diameter >9 mm, and intraluminal appendiceal fluid were associated with recurrent appendicitis. Multivariate analysis identified only intraluminal appendiceal fluid as an independent predictor of recurrent appendicitis.<br />CONCLUSIONS: Intraluminal appendiceal fluid is a predictive factor for recurrent appendicitis after initial non-operative management. The results of this study provide valuable information that may help to determine the appropriate management during the first episode of appendicitis.","24952800","2014","7"
"4","A clinicopathological study of women with adnexal masses presenting with acute symptoms.","Annals of medical and health sciences research","BACKGROUND: Abdominal pain is one of the most common presentations of adnexal pathology in gynecology. Early diagnosis and intervention is essential especially in adolescent girls and reproductive age group women to conserve reproductive function.<br />AIM: The purpose of the following study is to assess the clinicopathologic outcome of women with adnexal masses presenting with acute pain.<br />SUBJECTS AND METHODS: A retrospective study of women with adnexal masses who had surgical intervention for acute symptoms from June 2007 to May 2012 was undertaken. During the study period, a total of 57 women were operated for adnexal masses as emergency.<br />RESULTS: Of the 57 women operated for adnexal masses as emergency, the most common pathology was teratoma 26% (15/57) followed by corpus luteal hemorrhage (16%) and endometriosis (14%). Laparoscopy was the initial surgical approach in just over 50% of patients, but surgery was completed laparoscopically only in about one-third of patients. Conservative surgery in the form of ovarian cystectomy was possible in 70% of patients.<br />CONCLUSION: Complications of adnexal masses such as torsion and hemorrhage are common causes of acute abdominal pain. Timely diagnosis of the adnexal pathology and surgical intervention will help to preserve the reproductive outcome. Conservative surgery was possible in 70% of our study group.","24761256","2014","3"
"5","Outcomes and cost analysis of laparoscopic versus open appendectomy for treatment of acute appendicitis: 4-years experience in a district hospital.","BMC surgery","BACKGROUND: Laparoscopic appendectomy is not yet unanimously considered the \"gold standard\" in the treatment of acute appendicitis because of its higher operative time, intra-abdominal abscess risk, and costs compared to open appendectomy. This study aimed to compare outcomes and cost of laparoscopic and open appendectomy in a district hospital.<br />METHODS: A retrospective analysis of 230 patients who underwent appendectomy at the Division of General Surgery of the Civil Hospital of Ragusa, Italy, from May 2008 to May 2012 was performed. The variables analyzed included patients data (age, gender, previous abdominal surgery, preoperative WBC count, duration of symptoms, ASA risk score), rate of uncomplicated or complicated appendicitis, operative time, postoperative complications, length of hospital stay, and total costs. The patients were divided in two groups according to the surgical approach and compared for each variable. The results were analyzed using the t Student test for quantitative variables, and the Chi-square test with Yates correction and Fisher exact test for categorical.<br />RESULTS: Laparoscopic appendectomy was performed in 139 patients, open appendectomy in 91. Two cases (1.4%) were converted to open procedure and included in the laparoscopic group data. Patient data and rate of complicated appendicitis were similar in the two study groups. There was no statistical difference (pâ€‰=â€‰0.476) in the mean operative time between the laparoscopic (52.2 min; range, 20-155) and open appendectomy (49.3 min; range, 20-110) groups. The overall incidence of minor and major complications was significantly lower (pâ€‰=â€‰0.006) after laparoscopic appendectomy (2.9%, 4 cases) than after open appendectomy (13.2%, 12 cases); rate of intra-abdominal abscess were similar. The length of hospital stay was significantly shorter (pâ€‰=â€‰0.001) in laparoscopic group (2.75 days; range, 1-8) than in open group (3.87 days; range, 1-19). The mean total cost was 2282 Euro in laparoscopic group and 2337 Euro in open group, with a no significant difference of 55 Euro (pâ€‰=â€‰0.812).<br />CONCLUSION: Laparoscopic appendectomy is associated with fewer complications, shorter hospital stay, and similar operative time, intra-abdominal abscess rate, and total costs, compared with open appendectomy. Therefore, laparoscopic appendectomy can be recommended as preferred approach in acute appendicitis.","24646120","2014",\N
"6","Expression and significance of toll-like receptor 2,4 of peripheral blood mononuclear cells in acute abdomen patients associated with systemic inflammatory response syndrome.","Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban","The changes of Toll-like receptor (TLR) 2, 4 of peripheral blood mononuclear cells (PBMCs) in the acute abdomen patients associated with systemic inflammatory response syndrome (SIRS) and their potential significance were explored. A clinical study was performed on 103 acute abdomen patients in whom 65 were associated with SIRS. Forty healthy individuals served as normal controls. The mRNA expression of TLR2, 4 was detected by RT-PCR, and the expression of TNF-alpha and IL-6 by ELISA. The level of plasma endotoxin, hospital stay and mortality were measured. It was found that the endotoxin level was increased to varying degrees in all the acute abdomen patients, and the endotoxin level was and hospital stay longer in SIRS group than in non-SIRS group (P<0.01). TLR2 mRNA, TLR4 mRNA, IL-6 and TNF-alpha could be detected with low value in normal controls, but they were up-regulated markedly on the 1st day after admission. Then TLR4 mRNA, IL-6 and TNF-alpha were decreased gradually, but TLR2 mRNA maintained at a high level till the 5th day. These indexes above in SIRS group were higher than those in non-SIRS group (P<0.01). The results of correlation analysis revealed the expression of TLR2, 4 mRNA was positively correlated with the levels of TNF-alpha and IL-6, and the hospital stay. The results of Logistic regression demonstrated that overexpression of TLR2, 4 mRNA might result in higher risk of multiple organ dysfunction syndrome (MODS). It was concluded that in the acute abdomen patients associated with SIRS, the expression of TLR2, 4 in PBMCs was increased markedly, suggesting that TLR might play an important role in the pathogenesis of acute abdomen associated with SIRS.","17219971","2006",\N
"7","The experience of transumbilical endoscopic appendectomies.","Annals of surgical treatment and research","Minimally invasive surgery is being widely accepted in various fields of surgery. Although several appendectomy techniques have been reported but, there is no standardization. We report here the experiences of transumbilical endoscopic appendectomy in humans. Between July 2008 and September 2010, ten patients with appendicitis successfully underwent transumbilical endoscopic appendectomies. There were 7 cases of suppurative, 2 cases of gangrenous and 1 case of perforated in operative findings. The ages of the patients were 13-56 years (mean age, 32.7 Â± 15.4 years). Under general anesthesia, a 15-mm port was inserted through the umbilicus and then a two-channel endoscope was inserted in the peritoneal cavity. After appendix identification, counter-traction of the appendix with a direct abdominal wall puncture using a straight round needle prolene was performed to achieve good visualization of the operative field. Tissue dissection was performed using an endoscopic needle knife. Tissue grasping and resected appendix retrieval were done with endoscopic forceps. The average operation time was 79.5 Â± 23.6 minutes (range, 45 to 110 minutes). No procedures were converted to laparoscopic or open appendectomy. Hospital stay was 4-6 days. All patients completely recovered without complications. As it is highly maneuverable, we believe transumbilical endoscopic appendectomy can be a feasible method. And, as surgeons want to proceed from laparoscopic surgery to natural orifice transluminal endoscopic surgery, this procedure could be a triable method.","24851231","2014","5"
"8","Utility of immature granulocyte percentage in pediatric appendicitis.","The Journal of surgical research","BACKGROUND: Acute appendicitis is the most common cause of abdominal surgery in children. Adjuncts are used to help clinicians predict acute or perforated appendicitis, which may affect treatment decisions. Automated hematologic analyzers can perform more accurate automated differentials including immature granulocyte percentages (IG%). Elevated IG% has demonstrated improved accuracy for predicting sepsis in the neonatal population than traditional immature-to-total neutrophil count ratios. We intended to assess the additional discriminatory ability of IG% to traditionally assessed parameters in the differentiation between acute and perforated appendicitis.<br />MATERIALS AND METHODS: We identified all patients with appendicitis from July 2012-June 2013 by International Classification of Diseases-9 code. Charts were reviewed for relevant demographic, clinical, and outcome data, which were compared between acute and perforated appendicitis groups using Fisher exact and t-tests for categorical and continuous variables, respectively. We used an adjusted logistic regression model using clinical laboratory values to predict the odds of perforated appendicitis.<br />RESULTS: A total of 251 patients were included in the analysis. Those with perforated appendicitis had a higher white blood cell count (P=0.0063), C-reactive protein (CRP) (P<0.0001), and IG% (P=0.0299). In the adjusted model, only elevated CRP (odds ratio 3.46, 95% confidence interval 1.40-8.54) and presence of left shift (odds ratio 2.66, 95% confidence interval 1.09-6.46) were significant predictors of perforated appendicitis. The c-statistic of the final model was 0.70, suggesting fair discriminatory ability in predicting perforated appendicitis.<br />CONCLUSIONS: IG% did not provide any additional benefit to elevated CRP and presence of left shift in the differentiation between acute and perforated appendicitis.","24793450","2014","7"
"9","Cost-effectiveness of preoperative imaging for appendicitis after indeterminate ultrasonography in the second or third trimester of pregnancy.","Obstetrics and gynecology","OBJECTIVE: To assess the cost-effectiveness of diagnostic laparoscopy, computed tomography (CT), and magnetic resonance imaging (MRI) after indeterminate ultrasonography in pregnant women with suspected appendicitis.<br />METHODS: A decision-analytic model was developed to simulate appendicitis during pregnancy taking into consideration the health outcomes for both the pregnant women and developing fetuses. Strategies included diagnostic laparoscopy, CT, and MRI. Outcomes included positive appendectomy, negative appendectomy, maternal perioperative complications, preterm delivery, fetal loss, childhood cancer, lifetime costs, discounted life expectancy, and incremental cost-effectiveness ratios.<br />RESULTS: Magnetic resonance imaging is the most cost-effective strategy, costing $6,767 per quality-adjusted life-year gained relative to CT, well below the generally accepted $50,000 per quality-adjusted life-year threshold. In a setting where MRI is unavailable, CT is cost-effective even when considering the increased risk of radiation-associated childhood cancer ($560 per quality-adjusted life-year gained relative to diagnostic laparoscopy). Unless the negative appendectomy rate is less than 1%, imaging of any type is more cost-effective than proceeding directly to diagnostic laparoscopy.<br />CONCLUSIONS: Depending on imaging costs and resource availability, both CT and MRI are potentially cost-effective. The risk of radiation-associated childhood cancer from CT has little effect on population-level outcomes or cost-effectiveness but is a concern for individual patients. For pregnant women with suspected appendicitis, an extremely high level of clinical diagnostic certainty must be reached before proceeding to operation without preoperative imaging.","24084540","2013","10"
"10","An evaluation of operative self-assessment by UK postgraduate trainees.","Medical teacher","BACKGROUND: Surgeons in training undertake procedure-based assessment (PBA) with their trainers. Time pressures limit when this occurs. Self-assessment would provide additional opportunities but requires evaluation of your own skills and knowledge.<br />AIM: To investigate the validity of a self-assessment PBA in the operating theatre and evaluate learning needs and change in practice identified.<br />METHODS: In a prospective study, postgraduate UK trainees performed a self-assessment PBA after formally reflecting on appendicectomy surgery. Later, they performed their usual external assessment PBA on the same case and outcomes were compared. Learning outcomes were analysed independently by two trainers.<br />RESULTS: There were 25 trainees (14 males), of age 29 years (25-33). They had performed a median of five previous appendicectomies (2-21) after a median three years of speciality training (range 1-4). There were no significant differences in global summary scores, trainee satisfaction or learning outcomes between external and self-assessment PBAs. Construct validity of the self-assessment PBA was demonstrated. The self-assessment PBA was more likely to identify non-technical skills.<br />CONCLUSION: Our results suggest self-assessment PBA is valid for formative assessment. It identified a wide range of learning outcomes. Self-assessment PBA would help trainees maximise every learning opportunity and practice self-assessment skills.","24152186","2014","1"
