"AssignmentId","WorkerId","HITId","AcceptTime","SubmitTime","ApprovalTime","TimeToComplete","PMID","AbstractId","Question1","Question2","Question3","Question4","Relevant","Honeypot"
"32RIADZISTHWFO4A5ZQIG1HHWRD4SD","A8L450UGY77XB","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-16T16:57:21Z","2015-01-16T17:03:16Z","2015-01-16T18:07:40Z","35827.666666667",24610681,1429,"Yes",35,"No","-",0,0
"32RIADZISTHWFO4A5ZQIG1HHWRD4SD","A8L450UGY77XB","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-16T16:57:21Z","2015-01-16T17:03:16Z","2015-01-16T18:07:40Z","35827.666666667",24398214,450,"Yes",1,"-","-",0,0
"32RIADZISTHWFO4A5ZQIG1HHWRD4SD","A8L450UGY77XB","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-16T16:57:21Z","2015-01-16T17:03:16Z","2015-01-16T18:07:40Z","35827.666666667",24099125,260,"Yes",539,"Yes","No",1,0
"35H6S234SBD9O9ADCR6PKOR3EZO65D","A19PATBI3SQNU0","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T03:15:06Z","2015-01-18T03:28:36Z","2015-01-18T04:32:36Z",153868,24610681,1429,"Yes",35,"No","-",0,0
"35H6S234SBD9O9ADCR6PKOR3EZO65D","A19PATBI3SQNU0","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T03:15:06Z","2015-01-18T03:28:36Z","2015-01-18T04:32:36Z",153868,24398214,450,"Yes",1,"-","-",0,0
"35H6S234SBD9O9ADCR6PKOR3EZO65D","A19PATBI3SQNU0","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T03:15:06Z","2015-01-18T03:28:36Z","2015-01-18T04:32:36Z",153868,24099125,260,"CantTell",539,"Yes","No",1,0
"3WZ36BJEV4THFN2Y9E5VYKJ983PTBG","A1JVUD5XUB9H48","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T12:38:49Z","2015-01-18T12:45:24Z","2015-01-18T13:47:37Z","130118.33333333",24610681,1429,"Yes",35,"No","-",0,0
"3WZ36BJEV4THFN2Y9E5VYKJ983PTBG","A1JVUD5XUB9H48","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T12:38:49Z","2015-01-18T12:45:24Z","2015-01-18T13:47:37Z","130118.33333333",24398214,450,"Yes",1,"-","-",0,0
"3WZ36BJEV4THFN2Y9E5VYKJ983PTBG","A1JVUD5XUB9H48","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T12:38:49Z","2015-01-18T12:45:24Z","2015-01-18T13:47:37Z","130118.33333333",24099125,260,"Yes","NoInfo","Yes","No",1,0
"30IQTZXKALJNCH88G893368WUVQX0R","A3PGULUBHF331P","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T22:48:35Z","2015-01-18T22:50:18Z","2015-01-18T23:52:40Z",32666,24610681,1429,"Yes",35,"No","-",0,0
"30IQTZXKALJNCH88G893368WUVQX0R","A3PGULUBHF331P","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T22:48:35Z","2015-01-18T22:50:18Z","2015-01-18T23:52:40Z",32666,24398214,450,"Yes",1,"-","-",0,0
"30IQTZXKALJNCH88G893368WUVQX0R","A3PGULUBHF331P","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-18T22:48:35Z","2015-01-18T22:50:18Z","2015-01-18T23:52:40Z",32666,24099125,260,"Yes",539,"Yes","Yes",1,0
"3VA45EW49O00PXFYB0Q7YY0DNKJO1A","A3MXBLYX2CDGTP","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-19T20:48:03Z","2015-01-19T20:50:34Z","2015-01-19T21:52:37Z",49022,24610681,1429,"Yes",35,"No","-",0,0
"3VA45EW49O00PXFYB0Q7YY0DNKJO1A","A3MXBLYX2CDGTP","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-19T20:48:03Z","2015-01-19T20:50:34Z","2015-01-19T21:52:37Z",49022,24398214,450,"Yes",1,"-","-",0,0
"3VA45EW49O00PXFYB0Q7YY0DNKJO1A","A3MXBLYX2CDGTP","3PR3LXCWSFC3MRYSQ1NU7YE5LF59XD","2015-01-19T20:48:03Z","2015-01-19T20:50:34Z","2015-01-19T21:52:37Z",49022,24099125,260,"Yes",539,"Yes","Yes",1,0
"3GA6AFUKOP1M7J7QUR902II99GVH3F","A3HPVFAF1U9WXK","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-16T12:41:08Z","2015-01-16T12:42:51Z","2015-01-16T13:47:37Z","27212.333333333",24082738,103,"Yes",75,"Yes","No",1,0
"3GA6AFUKOP1M7J7QUR902II99GVH3F","A3HPVFAF1U9WXK","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-16T12:41:08Z","2015-01-16T12:42:51Z","2015-01-16T13:47:37Z","27212.333333333",25035789,1395,"Yes",8,"-","-",0,0
"3GA6AFUKOP1M7J7QUR902II99GVH3F","A3HPVFAF1U9WXK","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-16T12:41:08Z","2015-01-16T12:42:51Z","2015-01-16T13:47:37Z","27212.333333333",24868331,767,"Yes",5,"-","-",0,0
"3XM0HYN6NLCHUYLB2OY1UIOXMY5EPM","A1JVUD5XUB9H48","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-19T06:58:22Z","2015-01-19T06:59:47Z","2015-01-19T08:02:36Z",26559,24082738,103,"Yes",75,"Yes","Yes",1,0
"3XM0HYN6NLCHUYLB2OY1UIOXMY5EPM","A1JVUD5XUB9H48","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-19T06:58:22Z","2015-01-19T06:59:47Z","2015-01-19T08:02:36Z",26559,25035789,1395,"Yes",8,"-","-",0,0
"3XM0HYN6NLCHUYLB2OY1UIOXMY5EPM","A1JVUD5XUB9H48","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-19T06:58:22Z","2015-01-19T06:59:47Z","2015-01-19T08:02:36Z",26559,24868331,767,"Yes",5,"-","-",0,0
"3JWH6J9I9TQJKAXECIJJPLDHJMDBN9","AV3CA0IYNRCCJ","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-20T00:57:02Z","2015-01-20T00:59:13Z","2015-01-20T02:02:42Z","42728.666666667",24082738,103,"Yes",75,"Yes","No",1,0
"3JWH6J9I9TQJKAXECIJJPLDHJMDBN9","AV3CA0IYNRCCJ","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-20T00:57:02Z","2015-01-20T00:59:13Z","2015-01-20T02:02:42Z","42728.666666667",25035789,1395,"Yes",8,"-","-",0,0
"3JWH6J9I9TQJKAXECIJJPLDHJMDBN9","AV3CA0IYNRCCJ","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-20T00:57:02Z","2015-01-20T00:59:13Z","2015-01-20T02:02:42Z","42728.666666667",24868331,767,"Yes",5,"-","-",0,0
"32SCWG5HIIHDHJSWW6F3IUWK516P63","AYALPYEQ512PP","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-20T04:14:17Z","2015-01-20T04:17:15Z","2015-01-20T05:17:37Z","50779.666666667",24082738,103,"Yes",75,"Yes","No",1,0
"32SCWG5HIIHDHJSWW6F3IUWK516P63","AYALPYEQ512PP","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-20T04:14:17Z","2015-01-20T04:17:15Z","2015-01-20T05:17:37Z","50779.666666667",25035789,1395,"Yes",8,"-","-",0,0
"32SCWG5HIIHDHJSWW6F3IUWK516P63","AYALPYEQ512PP","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-20T04:14:17Z","2015-01-20T04:17:15Z","2015-01-20T05:17:37Z","50779.666666667",24868331,767,"Yes",5,"-","-",0,0
"33NF62TLXKFOUNAN3X4KVHFQXYKKJ5","A3P7M9666KJCP","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-21T10:11:50Z","2015-01-21T10:14:09Z","2015-01-21T11:17:44Z","45545.333333333",24082738,103,"Yes",75,"Yes","No",1,0
"33NF62TLXKFOUNAN3X4KVHFQXYKKJ5","A3P7M9666KJCP","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-21T10:11:50Z","2015-01-21T10:14:09Z","2015-01-21T11:17:44Z","45545.333333333",25035789,1395,"Yes",8,"-","-",0,0
"33NF62TLXKFOUNAN3X4KVHFQXYKKJ5","A3P7M9666KJCP","3BA7SXOG1J3JBQT6CABOIKX60S1R89","2015-01-21T10:11:50Z","2015-01-21T10:14:09Z","2015-01-21T11:17:44Z","45545.333333333",24868331,767,"No","-","-","-",0,0
"3KV0LJBBH3Y0IZT3WEQ9CLTLWGJMR6","A8L450UGY77XB","39O0SQZVJNKFBCON25JI4K1BP8VR7M","2015-01-16T20:55:39Z","2015-01-16T21:03:23Z","2015-01-16T22:07:39Z",21514,23558715,879,"Yes",7,"-","-",0,0
"3KV0LJBBH3Y0IZT3WEQ9CLTLWGJMR6","A8L450UGY77XB","39O0SQZVJNKFBCON25JI4K1BP8VR7M","2015-01-16T20:55:39Z","2015-01-16T21:03:23Z","2015-01-16T22:07:39Z",21514,24792028,348,"Yes",1,"-","-",0,0
"3KV0LJBBH3Y0IZT3WEQ9CLTLWGJMR6","A8L450UGY77XB","39O0SQZVJNKFBCON25JI4K1BP8VR7M","2015-01-16T20:55:39Z","2015-01-16T21:03:23Z","2015-01-16T22:07:39Z",21514,25066163,1324,"Yes",1,"-","-",0,0
