AssignmentId,WorkerId,HITId,AcceptTime,SubmitTime,ApprovalTime,TimeToComplete,AbstractId,Question1,Question2,Question3,Question4,Relevant
3PZDLQMM0UY65T0R4ZHU8HG1MMR2C1,A27QCN3GYCZTPE,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-05T22:35:03Z,2014-10-05T22:35:15Z,2014-10-05T23:37:16Z,3535,3232,No,-,-,-,0
3PZDLQMM0UY65T0R4ZHU8HG1MMR2C1,A27QCN3GYCZTPE,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-05T22:35:03Z,2014-10-05T22:35:15Z,2014-10-05T23:37:16Z,3535,4185,No,-,-,-,0
3PZDLQMM0UY65T0R4ZHU8HG1MMR2C1,A27QCN3GYCZTPE,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-05T22:35:03Z,2014-10-05T22:35:15Z,2014-10-05T23:37:16Z,3535,2949,No,-,-,-,0
3S4AW7T80CV9BB9KLQTH4F3M0AJ4LZ,A997OZ3H2B3Q2,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-06T18:28:28Z,2014-10-06T18:28:59Z,2014-10-06T19:32:16Z,9379.3333333333,3232,No,-,-,-,0
3S4AW7T80CV9BB9KLQTH4F3M0AJ4LZ,A997OZ3H2B3Q2,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-06T18:28:28Z,2014-10-06T18:28:59Z,2014-10-06T19:32:16Z,9379.3333333333,4185,No,-,-,-,0
3S4AW7T80CV9BB9KLQTH4F3M0AJ4LZ,A997OZ3H2B3Q2,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-06T18:28:28Z,2014-10-06T18:28:59Z,2014-10-06T19:32:16Z,9379.3333333333,2949,No,-,-,-,0
3IGI0VL648X334MNGNO5V5DGMWVON7,A31A4YKVSOYRVS,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-07T00:18:56Z,2014-10-07T00:19:14Z,2014-10-07T01:22:16Z,5498.6666666667,3232,No,-,-,-,0
3IGI0VL648X334MNGNO5V5DGMWVON7,A31A4YKVSOYRVS,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-07T00:18:56Z,2014-10-07T00:19:14Z,2014-10-07T01:22:16Z,5498.6666666667,4185,No,-,-,-,0
3IGI0VL648X334MNGNO5V5DGMWVON7,A31A4YKVSOYRVS,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-07T00:18:56Z,2014-10-07T00:19:14Z,2014-10-07T01:22:16Z,5498.6666666667,2949,No,-,-,-,0
30H4UDGLT3VF6MDOJMMK7QT6RCJMPQ,A13W8W81TPORYZ,3H6W48L9F429PE99XLN5R50DE57PWU,2014-10-07T01:19:51Z,2014-10-07T01:20:04Z,2014-10-07T02:22:15Z,3700.6666666667,3232,No,-,-,-,0
